DISTRICT_CODE,DISTRICT_NAME,member_2015,instruction_2015,pupilstaffsupport_2015,admin_2015,operations_2015,transportation_2015,facility_2015,foodcommservice_2015,member_2016,instruction_2016,pupilstaffsupport_2016,admin_2016,operations_2016,transportation_2016,facility_2016,foodcommservice_2016,member_2017,instruction_2017,pupilstaffsupport_2017,admin_2017,operations_2017,transportation_2017,facility_2017,foodcommservice_2017,member_2018,instruction_2018,pupilstaffsupport_2018,admin_2018,operations_2018,transportation_2018,facility_2018,foodcommservice_2018,member_2019,instruction_2019,pupilstaffsupport_2019,admin_2019,operations_2019,transportation_2019,facility_2019,foodcommservice_2019,member_2020,instruction_2020,pupilstaffsupport_2020,admin_2020,operations_2020,transportation_2020,facility_2020,foodcommservice_2020,member_2021,instruction_2021,pupilstaffsupport_2021,admin_2021,operations_2021,transportation_2021,facility_2021,foodcommservice_2021,member_2022,instruction_2022,pupilstaffsupport_2022,admin_2022,operations_2022,transportation_2022,facility_2022,foodcommservice_2022,member_2023,instruction_2023,pupilstaffsupport_2023,admin_2023,operations_2023,transportation_2023,facility_2023,foodcommservice_2023
1309,Deerfield Community,795,5561245,915376,769582,1429372,309448,1618360,507371,811,5606846,921199,818421,1579402,317297,1025869,407990,798,5813255,901127,860031,1300369,306958,1093751,431449,790,6081751,953909,878953,1405584,345027,1518666,479784,806,6172720.87,963601.85,914724.01,1514179.92,360541.64,1498692.05,457832.2,788,5965704.1,979892.18,968966.43,1357082.42,299762.42,1243842.59,439498.59,740,5816349.93,981365.88,964609.64,1446845.36,250973.31,1193650,373175.62,754,6617637.29,1120021.09,973175.6,1623167.55,346083.57,1777678.72,444976.31,778,6839284.9,1163527.71,1066106.55,1416051.83,428913.6,1073400.65,506645.41
1380,Delavan-Darien,2739,18637416,2987254,2504888,4052150,1201002,1404950,1249491,2706,18351693,3265451,2796987,3332902,1165421,1182204,1204561,2664,20130520,3836700,2560285,5338522,1224475,1256673,1225332,2608,20537822,4377374,2698232,4161836,1242493,1221896,1427730,2529,18032410.8,3568297.97,2390039.35,5099235.75,1269422.42,1442950.51,1195381.58,2518,19007282.81,3296903.35,2369703.95,5806986.23,1032910.05,1478497.48,1300193.42,2526,20723004.73,3961791.64,2566753.88,4560528.2,1185789.05,1738720.79,1222974.29,2515,21210420.42,3569812.96,2466231.75,4682589.39,1240298.98,1630280,1376139.26,2491,21657302.95,3449523.69,2736720.12,5024967.15,1281020.21,3377831.53,1430458.85
1407,Denmark,1437,9346747,1252803,1398408,2716834,609654,818575,725137,1436,9224113,1172226,1330884,2492952,596305,820930,731261,1456,9253517,1324620,1501397,2730476,637028,1683074,796403,1457,9553554,1328980,1506258,2324049,657459,1738029,741234,1454,10241216.73,1513936.45,1568204.06,2957742.88,676179.25,1232680.17,835875.17,1493,10165197.83,1399326.48,1468634.76,2495892.13,797476.82,2425973.77,822139.45,1461,10608561.24,1763995.04,1620636.52,3340032.85,771926.35,1080445.86,976838.74,1524,12421884.55,1632186.54,1702772.71,3151560.22,711302.34,2924803.89,1005223.01,1542,12308699.82,1641889.79,1722998.71,2974287.41,781207.21,1631914.49,972225.18
2744,Dodgeland,845,6101846,774315,902187,1520209,640934,1441726,365380,819,6186773,784008,924667,1708723,603115,1435763,327274,806,5751072,681820,932977,1651176,617136,1435126,315673,801,5890014,895813,910161,1676292,625213,1504188,333412,796,6115992.75,1386751.06,919188.33,1317367.81,733956.19,1502088,337886.34,755,6172266.53,947852.5,981144.02,1386823.51,566435.66,1504232.04,376498.69,695,5838622.32,1156208.31,995924.26,1748873.19,516498.77,920439.31,415872.31,704,6141649.51,880921.98,1036210.77,1638097.03,574350.99,1190248.1,393451.22,712,6794810.95,1060902.56,1049684.8,1742358.78,672964.49,1113937,432578.42
1428,Dodgeville,1290,9458368,1531349,1518181,2271710,757500,37016,573279,1289,9264325,1467722,1528513,2028578,732152,35052,629614,1302,9006840,1633314,1571180,2400317,667272,1358278,623191,1316,9343551,1709750,1689485,3175891,679707,1362272,629897,1319,9524261.23,1854394.76,1694578.12,2814982.03,752490.61,1815848,665983.14,1321,9899916.44,1639151.61,1912606.82,2383342.04,705364.33,3391659.62,619068.14,1221,10180688.01,1643996.14,1792284.37,2327304.93,698335.34,2654644.02,619194.43,1203,10073980.46,2186173.04,2027237.19,2668143.26,851300.57,1942603.49,850062.16,1172,10744523.2,2107412.73,1936287.64,2582364.78,963886.13,2046622.63,883396.95
1449,Dover #1,116,1016753,51424,146996,83882,56471,19880,19695,115,909345,64670,183947,192632,60271,53708,22891,110,884635,67403,165815,113629,63150,20900,2323,104,805410,56439,178308,201630,67647,27837,2473,97,922455.53,60726.51,191238.57,166520.23,60512.52,668928.55,30188.69,95,858721.51,72072.76,175490.3,137421.21,43511.19,267816,21193.22,91,719942.49,123803.39,162302.99,131145.03,53830.97,9180.25,29003.66,83,700813.98,123086.59,167022.71,111207.95,55734.3,155301.67,4925.06,87,816885.45,133422.93,180341.63,106183.66,57355.18,0,0
1491,Drummond Area,417,3383265,353318,436069,591737,608528,584230,219814,407,3137322,339185,441090,592586,588709,846009,220229,417,3478525,234411,455150,611128,599430,779518,223320,404,3498205,290875,467898,573135,621524,606742,226328,387,3363560.57,358224.46,492612.57,578212.01,621272.4,569763.52,218403.71,388,3511811.62,340400.33,502983.35,575390.4,586842.21,50122.86,226971.04,368,3669864.61,373089.76,527573.75,573657.3,541388.81,84939.27,219367.79,370,3700925.08,335112.23,579573.28,716790.13,585391.2,13886.85,253993.11,375,3731399.73,411713.16,684189.9,1000059.25,635823.21,0,293400.83
1499,Durand,956,6435354,977870,878352,2208579,1050896,155225,416509,979,6432063,978486,883146,1505273,1013337,1100260,425775,965,6334412,1053724,923108,2206967,1014286,1101208,386003,969,6481992,1033000,910998,1436494,933537,2018078,429295,981,6387788.26,1226414.68,922074.65,1770414.49,994890.21,1000248.7,432294.36,994,6592390.38,1318986.9,958616.97,1670207.05,976969.89,1218676.98,471412.28,1010,6803731.09,1523943.16,980822.05,1700769,1034127.14,1270089.46,453160.95,1041,7076303,1608543.61,1073096.37,1757035.95,1087334.37,1651653.8,529211.7,998,7163600.15,1657622.54,1137155.43,1713744.45,1068656.97,1635982.1,608888.11
1540,East Troy Community,1758,10370549,1521442,1630889,3510390,856798,1882231,774440,1763,10695835,1644323,1659051,3587869,868271,1436566,703317,1776,11213399,1953886,1735604,3359258,821267,2078785,685527,1758,11439775,1998285,1757948,3518586,994482,2156467,710545,1761,11736861.78,2367594.82,1809053.15,4050710.82,1007625.99,1957060.11,781407.78,1762,12300555.45,2671586.06,1795757.1,3230632.4,927763.41,1933723.74,756951.28,1665,12308563.72,2685451.68,1850089.71,3595332.59,858231.02,2602583.07,774196.55,1663,12259193.95,2568029.4,1847283.92,4655050.75,1050991.19,2619003.81,918629.19,1629,12738402.33,2740271.67,1817530.65,3495351.01,1140925.8,3253549.19,975698.29
1554,Eau Claire Area,11213,76217672,11061200,7586812,22133922,6425500,7935886,5479364,11300,77962170,11358698,7629768,20785593,6201211,7963182,5348825,11386,82266370,12961506,8274292,21461955,6542232,7176130,5307917,11548,86600682,13151851,8451145,19375722,6664770,9866546,5312040,11800,88888768.25,13228347.75,8427919.63,18510206.71,7011218.86,9145859.8,5611920.52,11968,89810365.57,12987573.55,8513451.19,18331401.6,5423674.99,9705047.08,5290903.78,11279,96283477.21,13758520.43,8310465.72,18617021.71,5572562.78,8709322.75,4446075.49,11512,96200977.58,17492309.64,9327164.28,23883720.29,7204973.63,8516825.11,6243928.24,11394,97253022.8,21228219.06,9320164.98,24106592.16,7433409.96,12619845.39,6507133.3
1561,Edgar,671,4530781,749102,693085,968009,562505,542265,306582,651,4568568,715400,700118,1065034,542993,749298,327020,621,4534614,746087,700051,944723,550871,1069402,297273,602,4645159,832393,746345,969684,545815,1081824,380829,592,4517299.78,943528.44,707070.02,957598.86,571425.76,1111624.03,335454.1,620,4451377.92,1134914.7,768186.7,807270.41,449841.83,1056587.23,396944.67,586,5139454.87,1055269.56,739245.83,830954.87,527511.95,1008162.91,394004.86,625,5348565.59,1123582.7,756682.1,813155.23,510581.59,1105397.72,451215.68,632,5717691.66,1306386.62,811429.37,964504.89,554048.69,1323386.67,521086.33
1568,Edgerton,1894,11496907,2226127,2007327,3580417,809259,1614826,864713,1877,11559750,2078696,2004418,3844173,834358,1631627,1008039,1910,12179670,2263081,2068967,4662126,874772,948907,902532,1945,12837211,2395674,2119180,4967000,886251,945502,973066,1979,13993471.45,2730879.88,2179193.53,3253834.37,931632.77,1244268.47,1188994.93,1956,14194992.03,2680663.84,2165153.18,4150662.36,965334.51,4017785.93,1048480.82,1950,14490054.71,2745058.31,2207663.54,4314418.61,983919.8,4501299.9,786563.79,1937,14927263.26,3066371.63,2338598.83,4137883.39,1025536.67,5220584.2,1380443.1,1986,15776664.07,3280110.56,2370874.76,4747430.36,1027570.67,5654206.25,1578668.15
1582,Elcho,331,2690638,374756,493842,900399,399635,342950,493812,348,2701297,360915,529867,883333,390026,364832,562249,343,2697559,313726,575801,882122,385241,391699,544890,313,2702143,325676,680566,825808,398260,1143700,509181,306,2693479.41,337041.65,715658.17,881401.82,403014.73,1344615.18,541536.4,272,2566467.43,253298.29,767129.57,1116880.26,263520.42,1285794,517961.19,284,2802394.74,291030.83,820789.31,860290.47,352807.73,1309447.57,622062.36,285,2631083.93,235694.74,585781.76,765979.28,368303.47,1295113.89,523587.74,257,2674225.88,399011.35,639401.23,817001.24,453873,1310046.45,608674.86
1600,Eleva-Strum,617,4359502,597873,897000,1380132,353146,716426,455203,626,3813795,542149,868515,1405503,281052,761841,387519,638,3981983,521677,892870,1355010,427727,856556,307446,634,4104297,572770,994773,1491731,362069,993045,257412,631,4344865.53,911426.49,864861.52,1020893.65,398144.32,1194988.38,258355.61,664,4683345.89,1004187,882269.39,828047.76,358501.96,1620509.96,280905.11,621,4715161.64,1278084.4,889411.9,1073569.95,395043.45,1441785.12,311125.1,666,5076347.04,1663378.39,909843.5,1039138.33,455192.37,1658347.89,414252.16,668,5794983.52,1291041.43,1025031.97,1045340.01,521400.7,1954897.73,396974.95
1645,Elk Mound Area,1092,6656613,803515,1146795,1591789,473478,1340838,533997,1110,6769563,820834,1218415,1491898,467008,1241224,531118,1109,7055171,837245,1112362,1351645,478910,1328340,496893,1134,7166870,849260,1127390,1530176,501170,1209264,511197,1122,7202291.43,835477.68,1178017.15,1757522.68,507457.46,1211955.03,529695.75,1112,7525272.63,964933.87,1182108.99,1613994.12,443890.93,1484564.13,557114.14,1059,7642472.28,1054194.59,1221033.33,1803171.4,489195.97,1137310.95,611995.66,1058,7930397.12,1057648.82,1209112.98,1942400.89,527290.89,1151297.12,732978.41,1056,8317060.21,1221131.07,1222843.26,1778045.52,703536.49,1844886.54,870782.33
1631,Elkhart Lake-Glenbeulah,516,3241481,483389,743625,1272648,245261,315568,138667,486,3413580,498011,805673,941648,237768,903339,151571,467,3410703,512487,797294,1279155,233976,387900,191499,463,3547953,523494,871852,1244291,240120,193950,206244,463,3543570.87,558758.26,840337.26,1128294.81,256443.8,494734,207267.35,450,3500718.34,745423.73,830288.14,1101882.01,230072.38,669644.8,258024.53,430,3712642.35,726265.7,858151.53,980960.01,251534.65,668990.55,285793.24,421,3703328.34,978443.85,942809.45,1188133.68,260265.16,579581.3,374861.09,424,3729027.71,806786.93,997264.71,1157865.8,282502.07,539921.53,354165.7
1638,Elkhorn Area,3120,20536423,2778356,2909729,4218658,1581202,3542146,1410123,3116,19981205,2749889,3009249,3851057,1605675,4187641,1460838,3081,20536858,3023548,3212040,4222126,1693698,4332306,1516732,3125,20903964,3293918,3301600,4370369,1901568,5138203,1409401,3092,21210229.5,4021598.18,3663259.07,4383513.55,1996904.66,4274255.07,1610536,3122,21560806.97,4086328.75,3661158.09,4430898.62,2079396.11,4304585.88,1716560.49,3064,21863957.53,4412299.83,3931495.19,5349856.48,2116905.2,3992997.92,1808765.72,3014,22074927.77,4509412.62,3930104.26,5199618.92,2093920.38,4523138.11,2182933.82,3004,23450281.75,5073526.31,4137719.81,5244799.37,2571583.65,4244527.39,2356428
1659,Ellsworth Community,1714,10253485,1339149,1766607,2978064,1305975,628290,1164523,1721,10618983,1220235,1921212,2846572,1762714,3335984,1101249,1714,10990884,1373417,1948159,3089708,1514158,2772354,1146217,1699,11773705,1509346,1988278,2945053,1689399,2121317,1265275,1728,11410853.73,1736872.06,1946846.1,3496139.77,1641205.33,3367181.11,1169834.39,1743,12056181.43,2054153.7,1988347.52,3214532.78,1620397.4,2496850,1249492.82,1670,12071905.44,2110437.13,2047157.68,3043884.25,1452544.06,2660782.11,1276619.85,1694,13065161.42,1960493.85,2080368.71,3455764.13,1381455.9,2889894.51,1535866.27,1709,13570798.05,1918758.23,2093710.65,3773335.77,1519950.9,2679550.22,1596585.5
714,Elmbrook,6631,48402317,9538218,6032999,16629192,3821724,6058161,3231908,6772,48916753,9384984,6773337,13535541,3773265,6629109,3433258,6820,50125250,9346515,6155421,12427604,3797327,7898516,3235650,7158,52168710,8983087,5901742,10692274,4282886,8958141,3230466,7344,54087774.81,10203420.07,5908315.86,11305924.11,4393697.91,15695295.06,3319624.41,7430,56714266.25,10588739.28,6151580.76,11512585.86,4279043.04,18655138.75,3198229.36,7367,58987297.71,11179283.54,6201165.84,11607318.57,4218294.01,14035872.54,3131223.86,7848,64862995.68,11243572.3,6190841.57,12701480.68,4794073.25,8059910.82,3951694.96,7967,69088506.49,12212300.46,6678305.33,13840318.82,5211290.64,8618479.64,4380178.1
1666,Elmwood,331,2593677,239792,529786,944325,231236,347348,212560,340,2486299,250313,561365,882551,300803,140351,234862,332,2627153,217498,554098,790034,192632,404935,209499,317,2841367,221013,567995,781756,225294,138664,378085,329,2596088.2,279456.3,558049.66,895207.01,296106.73,195349.24,309917.37,334,2708877.08,292918.85,565281.32,944215.98,192499.69,226526.13,385079.04,316,2707080.79,366812.23,559892.8,771697.25,275722.86,184.06,419048.45,308,2965786.06,367512.09,640255.14,868878.6,320949.33,7465.45,451183.66,301,3090342.99,335222.98,641038.87,774026,240640.48,19331.53,538998.92
1687,Erin,235,1415445,294925,358642,471996,162552,13209,130371,239,1387578,298324,363298,432953,156903,155740,140988,221,1116242,303603,368481,453210,178966,178928,141815,227,1158041,326158,393857,469108,183290,190791,141761,230,1075178.53,332674.85,393231.38,444764.69,169540.71,791982.53,209449.26,230,1196173.32,370506.35,405683.34,511934.13,147418.41,642839.8,184787.05,229,1423480.44,345776.56,402669.9,536492.25,158491.81,337211.39,239476.28,241,1540956.86,413749.14,463233.08,530435.22,149353.34,290788.52,267089.34,262,1976429.34,258186.63,548769.22,542089.19,155496.57,252912.15,308400.53
1694,Evansville Community,1777,12688516,1493884,1601239,3781011,661520,3034333,665747,1840,12959358,1640348,1669567,3919297,710775,3299327,589187,1874,13509891,1633521,1834141,3792036,734046,3114900,650739,1845,13390910,1627512,2010935,3972036,777626,3120650,654093,1816,13569468.61,1993895.68,1840539.09,4098698.51,825944.58,3140290,708363.2,1793,13978460.93,2406454.53,1922879.38,3665472.71,691794.3,1462978.55,573382.32,1721,13813687.01,2682386.16,1898731.32,3797679.17,688430.82,4454126.4,696606.53,1704,14469022.45,2803309.03,2048505.12,3915680.96,855563.55,4091964.02,982269.02,1660,14453624.09,2853038.2,2081200.27,3486749.53,997782.88,4069368.91,1153319.69
1729,Fall Creek,799,5260268,540811,945545,1595688,403537,469141,348122,793,4956525,543396,980740,1650343,411589,636252,364190,791,5133735,537880,849782,1575310,324309,519619,353374,798,5204833,572751,826945,1468242,358063,460627,356970,787,5478667.78,580130.69,876906.63,1420979.19,258588.63,1600942.88,360707.94,769,5512041.51,590742.82,1025368.11,1517953.18,272749.9,1639981.55,399132.13,748,5469214.13,692380.57,935730.91,1491245.03,356882.66,1675777.7,391135.62,735,5517930.78,713694.96,885923.96,1473031,492264.28,2156329.51,562870.26,753,5892800.97,843041.45,902937.32,1485157.09,358496.9,2469353.64,486137.66
1736,Fall River,555,3581674,563774,577103,685173,107060,356783,342976,541,3582954,388540,626556,909444,219874,402691,316576,526,3743138,425658,621370,872908,240715,415936,338710,531,3911590,421378,635176,958240,135102,391719,322831,524,4118521.65,476761.96,668641.95,876228.14,325192.48,397553.25,298333.4,523,3931860.94,621411.98,714867.84,1052073.22,115821.73,537963.76,275344.35,500,3760286.44,524230.46,638744.85,1087109.03,142505.03,570963.76,251179.59,533,4227122.09,511991.48,621911.79,1422821.15,195281.25,620340.76,358663.05,521,4264708.02,674019.02,672467.62,1271310.33,116558.37,620105.76,366825.06
1813,Fennimore Community,776,5906197,942076,755780,889901,318383,383634,436282,778,6062875,939380,748684,856155,374914,970349,454519,777,6136697,1059793,791253,1079694,476669,483431,489215,762,5795312,1120626,881826,1162256,546505,489361,521758,750,5989322.11,1035871.16,925780.05,1207890.34,493185.52,1005199.73,498999.67,765,6199374.61,838120.76,989398.28,1338833.66,561213.63,543706.75,443598.51,715,6269390.96,1016101.2,1007694.35,1281430.75,404458.72,1661118.44,482409.39,744,6545738.54,960031.36,1062690.18,1266790.82,476834.11,1695979.03,601241.97,737,6733392.02,1091847.78,1239898.8,1282338.92,722936.45,2213787.24,570707.24
5757,Flambeau,594,4222350,852348,417846,1472290,624571,656309,449948,609,4323447,932104,424463,1327081,503540,670303,394394,619,4598467,928625,675915,1143306,488425,666077,432781,617,4562492,859581,687861,1863295,567411,16680,433536,639,4772011.69,767832.62,736299.9,1877720.96,569567.13,17330.74,433096.78,617,4722966.56,785910.31,705855.93,1486400.12,478742.23,18013.66,436380.9,551,4782305.39,856294.74,734127.58,1173658.42,409524.7,873.65,477626.41,566,5197445.96,961251.37,921718.05,1166462.25,571123.89,315.45,496945.98,532,5565257.52,800644.14,793963.09,1431537.26,552133.07,279740,595926.19
1855,Florence,476,3936552,431697,725016,1580807,348158,358630,284135,464,3996866,459252,808325,1624810,457596,374530,309906,447,4207388,473838,763662,1429567,424667,373705,237713,471,4342181,603717,775959,1420516,466928,300779,229943,472,4307954.04,647090.8,766699.29,1311884.17,409459.32,1265432.19,256792.25,469,4228583.07,670483.8,751259.24,1463991.37,619047.76,844499.5,186285.19,455,4697784.87,839618,848715.38,1368995.69,313884.96,875187.5,173779.41,465,4659149.37,500995.34,857920.03,1373138.03,411249.26,981195.8,251235.57,456,4785240.02,594881.54,953783.05,1589373.66,556127.76,884782.5,215932.63
1862,Fond du Lac,7486,52005528,8634574,5160602,11675153,2032008,6726118,4846616,7466,52218987,8349591,5454130,11646492,1916571,6337969,4868662,7552,53680015,8609939,5550489,11887331,1880294,6109762,4971747,7537,54893802,8911109,5576402,12390444,1865769,6387010,4989453,7517,58337022.87,9725637.34,5641824.91,11716596.69,1860428.18,8888443.81,4627783.42,7550,59812579.74,9267271.22,5977806.91,12577055.3,1195082.01,5076525.59,4060313.12,7256,59920939.76,9993163.6,7082464.32,12724052.54,1335086.47,6181443.27,4100479.28,7320,61146969.25,12271214.68,7503313.98,12238346.59,1649126.52,6339114.15,5701055.53,7351,62356985.49,14223073.82,6200888.87,12943847.61,1769237.1,9848443.19,5913530.2
1870,Fontana J8,212,1697040,162101,571202,466580,147178,422696,100040,201,1757210,151460,529822,488989,141963,723587,107347,189,1646028,150403,692157,451518,147845,372277,120373,164,1582584,232383,518080,524580,166719,351103,137468,162,1472199.11,326520.65,532871.2,523416.57,112187.86,346137.5,129110.73,153,1603896.52,262657.68,518074.8,604850.06,82887.31,346862.5,163464.38,151,1588804.4,414853.27,462528.71,848518.35,117259.92,346787.5,341072.2,146,1768526.52,531491.18,459218.43,720733.6,140660.44,350887.5,417193.82,155,1590161.19,589320.7,542139.74,892204.82,119216.99,610366.07,609178.93
1883,Fort Atkinson,2870,20002614,2925044,2468850,4786686,1087914,2232491,1366862,2873,21560735,3270927,2507568,5043410,1101637,2102655,1413749,2865,22354577,3309309,2513394,4624422,1156093,2990343,1282905,2858,23373394,3460286,2603650,4963542,1050831,1060763,1201123,2825,24786102.65,3987121.48,2690898.21,4847916.21,1120880.57,1507714.13,1197307.4,2826,25848714.89,3999325.6,2774842.27,5043875.65,1006566.87,1222984.65,1254705.26,2628,26046952.11,4337981.62,2900172.12,5243552,913677.63,2997926.06,1139204.17,2705,28242933.39,5282401.05,2918551.04,5516356.29,1030855.29,962330.56,1352530.1,2656,28043378.75,5022066.01,3128260.61,7010890.78,976127.96,6392418.08,1533321.74
1890,Fox Point J2,731,5145106,1248533,1274875,2595432,754850,79523,120060,708,5318251,1322460,1236128,2150314,641412,84263,334156,679,5774671,1345163,1207107,2396629,630531,79441,109959,683,6128339,1514702,1228179,2342676,671519,15030,72754,673,5979819.26,1563681.14,1293543.53,2495920.19,678938.21,184642.36,68215.14,704,6111710.57,1723619.23,1596180.27,2573676.24,481903.78,240320.03,180449.24,728,6516332.14,1464062.57,1719533.28,2578554.68,367428.37,82494.49,158072.93,783,7144517.53,1580086.96,1841994.55,1958326.76,638896.74,2648088.12,386364.84,783,7793127.63,1633942.16,1981400.13,5489380.92,705102.61,1800175.14,266571.01
1900,Franklin Public,4057,28728816,3283845,4101078,8491446,1949678,6564178,3778946,4088,29018600,3272358,4059465,9410291,1893131,3253765,2820023,4198,29582993,3490856,4288611,10489354,2009006,3217837,2892821,4280,30519474,3434928,4498419,10580997,2083629,5296003,3039439,4318,31901383.95,4367993.84,4410179.85,9576530.43,2050164.11,4989198.48,2866768.13,4439,34880719.76,4587287.32,4676542.41,8870401.5,1876411.99,4841319.63,2996684.53,4410,35655406.45,4724001.35,4900395.65,9032341.39,2147953.74,6229485.98,2435504.31,4487,37007270.61,4438062.13,5030658,9881633.8,2940144.46,4784526.6,3000816.31,4516,35381563.06,5681562.39,5215894.22,9978114.39,2222088.18,9861315.33,3360681.63
1939,Frederic,514,3482072,334647,763008,778294,187764,741408,313015,510,3432971,351841,786140,710014,381574,719325,337531,548,3573432,349516,834023,735485,298961,736365,760054,544,3756919,420402,793577,920158,308409,1068404,817493,535,3645696.58,459878.63,768869.65,917776.31,344197.76,282765,880952.27,524,3602998.02,624414.33,775722.81,992156.55,333775.2,437031.66,871812.24,508,3944787.16,764166.7,816550.51,1164506.82,356608.58,1053707.78,917859.61,520,4683067.05,895559.45,825223.62,887471.93,371498.38,1309917.72,1144970.05,510,4005138.29,1064580.01,1017831.68,1247207.82,422256.41,1467556.06,1218581.85
1953,Freedom Area,1703,10381062,1438764,1291959,2603665,815140,1418767,602701,1712,10866646,1487610,1312483,2605181,825714,1401349,556804,1677,10783351,1466576,1357889,2605906,824923,1411980,581876,1692,11412338,1418525,1502846,2696603,795298,341700,539787,1674,11759323.93,1461142.07,1574907.97,2687385.86,820537.53,4620,495753.98,1676,12276297.87,1568544.79,1528446.43,2610791.04,682097.58,5040,456380.08,1614,12946210.34,1435179.92,1567984.59,2633732.52,771414.25,5040,427042.34,1658,13701115.66,1517418.77,1593408.22,2842947.69,824409.01,5040,532394.7,1644,14252101.18,1701293.53,1708673.58,3162902.74,874451.32,5040,673880.22
4843,Friess Lake,163,1277197,158024,372775,260840,151921,0,42398,140,1240289,137318,354787,229134,149014,0,40954,133,1175192,127000,399865,237349,121907,0,44109,129,1122966,147203,368412,266726,131837,    ,38659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Gale-Ettrick-Trempealeau,1440,9434274,1426275,1306309,2805378,716167,1806602,699443,1417,9300532,1486825,1318928,2228139,655423,1671252,667936,1422,9691815,1520880,1365010,2716433,706639,1585134,725111,1470,9968115,1714313,1514938,2922413,761714,1751486,685285,1473,10221314.07,1681895.06,1548761.8,3014808.22,1068484.98,1810530.04,687800.65,1465,10576160.07,1765797.45,1624447.21,3117371.74,914260.66,2026424.14,693501.04,1412,10773507.63,1883797.78,1603640.59,3482931.3,668634.03,1999360,717911.29,1433,11367448.97,1980562.63,1595847.7,3559134.08,1017736.53,2045918.25,908173.09,1439,12497942.74,2299541.35,1552081.98,4337611.01,1176463.52,2703399,934392.65
2044,Geneva J4,116,702697,106402,301602,476394,74193,202161,38182,119,672563,162421,322738,509897,72928,495529,26501,121,741491,218354,342711,389555,69183,167387,24641,120,661329,237185,348563,368803,69678,694171,44930,126,872314.04,273336.37,353881.69,432842.64,71151.26,1883016.83,65240.23,128,724457.91,366686.3,352748.29,396606.8,70880.25,525201.77,59769.9,108,857734.7,295068.42,401338.23,473134.42,66337.12,314150,35196.3,98,873701.37,319077.24,451425.14,437894.46,81121.63,312901,28011.41,93,1016540.37,394948.35,315794.68,384753.53,92761.13,312051,35024.35
2051,Genoa City J2,647,4597702,431964,663012,661240,263426,1380694,0,650,4158615,418964,656139,1406992,259933,1025930,0,670,4188509,599532,716527,1013169,242983,1194492,0,644,4540294,632169,746537,1114894,258700,887664,    ,653,4821700.38,651661.35,745402.03,1190385.93,265107.29,845848.76,0,629,4707551.34,779937.81,756127.28,1202350.28,249991.94,867787.57,37115.4,591,4388730.51,876889.37,823524.81,1165357.98,274681.85,2446200.91,39190.95,587,4816830.75,924004.47,881650.88,924339.22,299446.05,1935351.96,72492.15,564,4654899.97,1198496.55,1017804.71,941097.74,332801.92,764549.87,57299.05
2058,Germantown,3895,25569330,4272158,3102937,7343790,2524339,1640921,1341569,3908,25929075,4257789,3345995,7586390,2404390,163708,1405648,3939,25925095,4233154,3211814,7294617,2498266,1706443,1434873,3935,27412037,4636511,3261588,7423631,2631721,5530471,1392463,3944,28199055.2,4842932.27,3446887.2,8236035.75,2543304.05,7990223.86,1488061.76,3961,28774450.48,4723240.86,3687189.52,9250607.4,1875123.79,7182266.97,1315200,3887,28546749.51,4438527.12,3315585.16,8435208.8,2207678.19,8056418.51,1209284.26,4004,30095011.58,4289964.84,3168090.03,9002539.1,2165591.53,13261040.77,1650128.7,4041,31401083.13,4421625.04,3208113.82,7406775.86,2588861.04,2897418.24,1789021.01
2114,Gibraltar Area,583,5278239,1088377,1010705,1841840,574429,622770,238652,570,5756333,1137976,1132573,1834003,479207,638500,256496,549,5978737,1125323,1043813,1724174,513996,636700,251383,523,6244668,1235819,1058805,1640135,769340,634700,241963,525,6625486.59,1071844.19,1419381.15,1490894.56,645287.26,459470.5,251785.64,538,6694887.61,1075231.44,1325913.71,1836147.64,585156.47,1840338.35,267064.94,501,7820674.37,1122484.51,1185074.18,1791638.56,430615.16,1197549.78,247569.3,516,7703124.57,1141728.12,1193099.18,1721717.9,608643.78,995400,290871.66,520,8842985.42,1380475.8,1295511.56,2102618.76,876667.67,958346,330765.76
2128,Gillett,596,4294715,653528,687150,1295649,616461,353455,343051,593,4121817,607588,763865,1003934,517888,368464,314219,591,4290296,602076,723426,1105962,524769,348635,331614,623,4567977,620525,757833,1008502,538986,341320,315074,607,4674258.02,672743.75,744494.18,1032480.85,525344.87,611371.13,322066.55,589,4634706.06,799697.41,754100.99,1072078.09,406270.59,852101.42,316564.19,561,4640561.47,868725.45,786721.74,1305291.32,442583.55,798072.98,253657.03,570,4843404.69,1004608.05,789693.61,1581423.33,492300.88,678829.1,315318.44,576,4916383.57,1047994.21,837542.95,1602062.12,564091.04,675503.5,378084.8
2135,Gilman,422,3021062,270501,511051,1021283,447395,501884,316199,407,3045129,283092,512916,1136954,452732,477863,283222,405,3401128,317538,571394,964385,458117,478863,269241,400,3481088,285414,593359,867141,481484,762688,260812,386,3291323.76,346883.88,769243.83,1359034.34,469076.6,142418,272759.39,374,3386227.98,545977.91,781690.28,981187.37,434038.12,175618,297657.37,334,2721511.85,469119.24,612455.52,984728.96,444469.72,391171.04,285483.2,340,2791592.52,505431.94,493523.81,1033407.51,487343.57,777589.67,303634.73,345,2809833.57,573590.8,546633.6,1123879.83,513100.05,279288.08,309082.07
